bookid,author,title
397,"Patrick Süskind, John E. Woods",Das Parfum. Die Geschichte eines Mörders
398,Eric Schlosser,Fast Food Nation : The Dark Side of the All-American Meal 
399,J.K. Rowling,The Tales of Beedle the Bard
400,William Gibson,Neuromancer
401,Ernest Hemingway,A Farewell to Arms
402,Edgar Allan Poe,The Tell-Tale Heart
403,"Sun Tzu, Thomas Cleary",孫子兵法 [Sūnzi bīngfǎ]
404,William Landay,Defending Jacob
405,Kurt Vonnegut Jr.,Breakfast of Champions
406,Betty Edwards,Drawing on the Right Side of the Brain
407,Ann Patchett,Bel Canto
408,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies"
409,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe
410,Chinua Achebe,Things Fall Apart
411,Sophie Kinsella,The Undomestic Goddess
412,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
413,Alexandre Dumas,Les Trois Mousquetaires
414,Chris Cleave,The Other Hand
415,Alyson Noel,Evermore
416,"Roald Dahl, Quentin Blake",The Witches
417,Diane Setterfield,The Thirteenth Tale
418,Richelle Mead,Spirit Bound
419,Richelle Mead,Blood Promise
420,Nicholas Sparks,Message in a Bottle
421,Paula McLain,The Paris Wife
422,J.K. Rowling,Complete Harry Potter Boxed Set
423,Kiera Cass,The Elite
424,"Umberto Eco, William Weaver, Seán Barrett",Il nome della rosa
425,"Beatrice Sparks, Anonymous",Go Ask Alice
426,"John Kennedy Toole, Walker Percy",A Confederacy of Dunces
427,Oscar Wilde,The Importance of Being Earnest
428,Rick Riordan,The Mark of Athena
429,Terry Pratchett,The Colour of Magic
430,"Haruki Murakami, Philip Gabriel",海辺のカフカ [Umibe no Kafuka]
431,Thomas Harris,Red Dragon
432,Isaac Asimov,"I, Robot"
433,J.R. Ward,Dark Lover
434,Becca Fitzpatrick,Crescendo
435,Lauren Oliver,Before I Fall
436,Arundhati Roy,The God of Small Things
437,Sue Monk Kidd,The Invention of Wings
438,Liane Moriarty,What Alice Forgot
439,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time: From the Big Bang to Black Holes
440,Ken Follett,Fall of Giants
441,Stephen King,Under the Dome
442,Neal Stephenson,Snow Crash
443,Sarah Dessen,Just Listen
444,"A.A. Milne, Ernest H. Shepard",Winnie-the-Pooh
445,S.J. Watson,Before I Go to Sleep
446,Arthur Conan Doyle,A Study in Scarlet
447,Christopher Paolini,Brisingr
448,Rick Warren,The Purpose Driven Life: What on Earth am I Here For?
449,"P.C. Cast, Kristin Cast",Betrayed: a House of Night Novel
450,Jim Butcher,Storm Front
451,"Jane Austen, Alfred MacAdam",Northanger Abbey
452,Rick Yancey,The 5th Wave
453,Charles Frazier,Cold Mountain
454,"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie
455,Emily Giffin,Something Blue
456,Tennessee Williams,A Streetcar Named Desire
457,Elizabeth Kostova,The Historian
458,Emily St. John Mandel,Station Eleven
459,"Fredrik Backman, Henning Koch",En man som heter Ove
460,Cassandra Clare,Clockwork Princess
461,Pearl S. Buck,The Good Earth
462,John Berger,Ways of Seeing
463,Diana Gabaldon,Dragonfly in Amber
464,Anonymous,
465,Jennifer Weiner,In Her Shoes
466,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit
467,Junot Díaz,The Brief Wondrous Life of Oscar Wao
468,Zora Neale Hurston,Their Eyes Were Watching God
469,"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them
470,"Malala Yousafzai, Christina Lamb",I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban
471,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park
472,Viktor E. Frankl,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager
473,Tana French,In the Woods
474,Richard Dawkins,The God Delusion
475,Gayle Forman,Where She Went
476,John Irving,The World According to Garp
477,Lee Child,Killing Floor
478,"Daniel Defoe, Gerald McCann, Virginia Woolf","The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner"
479,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",Il Principe
480,Philip Pullman,The Amber Spyglass
481,Terry Goodkind,Wizard's First Rule
482,Kathleen Grissom,The Kitchen House
483,J.D. Salinger,Franny and Zooey
484,Chuck Palahniuk,Choke
485,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",Братья Карамазовы
486,Jeanne DuPrau,The City of Ember
487,Michael Crichton,The Andromeda Strain
488,Stephen King,The Green Mile
489,Kahlil Gibran,The Prophet
490,Art Spiegelman,Maus: A Survivor's Tale : My Father Bleeds History
491,"P.C. Cast, Kristin Cast",Untamed: A House of Night Novel
492,Orson Scott Card,Speaker for the Dead
493,C.S. Lewis,Mere Christianity
494,Donna Tartt,The Secret History
495,Dave Eggers,A Heartbreaking Work of Staggering Genius
496,Jean M. Auel,The Clan of the Cave Bear
497,Anna Sewell,Black Beauty
498,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",Война и миръ
499,Bret Easton Ellis,American Psycho
500,Meg Cabot,The Princess Diaries
501,Alexander McCall Smith,The No. 1 Ladies' Detective Agency 
502,"Robert Kirkman, Tony Moore","The Walking Dead, Vol. 1: Days Gone Bye"
503,Arthur C. Clarke,2001: A Space Odyssey
504,Francine Rivers,
505,"Tim LaHaye, Jerry B. Jenkins",Left Behind:  A Novel of the Earth's Last Days
506,Kiera Cass,The One
507,Suzanne Collins,The Hunger Games Box Set
508,Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America
509,Sophie Kinsella,Remember Me?
510,Robert Jordan,The Great Hunt
511,Patricia Cornwell,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta
512,Edgar Allan Poe,The Complete Tales of Edgar Allan Poe
513,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",The Hiding Place
514,Arthur Conan Doyle,The Adventures of Sherlock Holmes
515,Pat Conroy,The Prince of Tides
516,Michael Chabon,The Amazing Adventures of Kavalier & Clay
517,Simone Elkeles,Perfect Chemistry
518,"J.M. Barrie, Michael Hague",Peter Pan
519,Scott Westerfeld,Pretties
520,"Haruki Murakami, Jay Rubin",ねじまき鳥クロニクル [Nejimakidori kuronikuru]
521,Michael Connelly,The Lincoln Lawyer 
522,David Mitchell,Cloud Atlas
523,Tim O'Brien,The Things They Carried
524,Banksy,Wall and Piece
525,Lauren Oliver,Pandemonium
526,Jeff Lindsay,Darkly Dreaming Dexter
527,Charlaine Harris,Living Dead in Dallas
528,Robert Jordan,The Dragon Reborn 
529,"Jonathan Swift, Robert DeMaria Jr.",Gulliver’s Travels
530,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",Much Ado About Nothing
531,"Unknown, Seamus Heaney",Beowulf
532,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Batman: Year One
533,Harper Lee,Go Set a Watchman
534,David Sedaris,When You Are Engulfed in Flames
535,Laini Taylor,Daughter of Smoke & Bone
536,Victoria Aveyard,Red Queen
537,Charles Duhigg,The Power of Habit
538,John Berendt,Midnight in the Garden of Good and Evil
539,Colleen Hoover,Hopeless
540,"Frances Hodgson Burnett, Nancy Bond",A Little Princess
541,Sarah Dessen,The Truth About Forever
542,C.S. Lewis,The horse and his boy
543,Richelle Mead,Last Sacrifice 
544,"Laura Ingalls Wilder, Garth Williams",Little House on the Prairie
545,"Margery Williams Bianco, William   Nicholson",The Velveteen Rabbit
546,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance
547,"H.G. Wells, Arthur C. Clarke",The War of the Worlds
548,Sara Shepard,Pretty Little Liars
549,Don Freeman,Corduroy
550,Michael Pollan,The Omnivore's Dilemma
551,Kate Atkinson,Life After Life
552,Nicholas Sparks,The Rescue
553,Stephen King,Needful Things
554,Diana Gabaldon,Voyager
555,"Kenneth Branagh, William Shakespeare",
556,Stephen King,Cujo
557,Jeffrey Eugenides,The Virgin Suicides
558,Charlaine Harris,Dead to the World
559,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Tess of the d'Urbervilles: A Pure Woman Faithfully Presented
560,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Madame Bovary
561,"Norton Juster, Jules Feiffer",The Phantom Tollbooth
562,Brandon Sanderson,The Way of Kings
563,Charlaine Harris,Club Dead
564,Ned Vizzini,It's Kind of a Funny Story
565,Brandon Sanderson,
566,Jojo Moyes,After You
567,Vanessa Diffenbaugh,The Language of Flowers
568,"Frank Miller, Klaus Janson, Lynn Varley",Batman: The Dark Knight Returns
569,James Patterson,The Angel Experiment
570,Nick Hornby,High Fidelity
571,Nicholas Sparks,The Guardian
572,Margaret Atwood,Oryx and Crake
573,John Gray,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships"
574,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly
575,Michael Crichton,Timeline
576,Voltaire,Candide
577,Natalie Babbitt,Tuck Everlasting
578,"Stephen King, Marie Milpois",Christine
579,P.D. Eastman,Are You My Mother?
580,E.H. Gombrich,The Story of Art
581,Marissa Meyer,Scarlet
582,Robert T. Kiyosaki,"Rich Dad , Poor Dad"
583,Becca Fitzpatrick,Silence 
584,Lev Grossman,The Magicians
585,"Tsugumi Ohba, Takeshi Obata",デスノート #1 (Desu Nōto) Taikutsu (退屈)
586,Libba Bray,A Great and Terrible Beauty
587,Jonathan Safran Foer,Everything Is Illuminated
588,Robert Ludlum,The Bourne Supremacy
589,Tammara Webber,Easy
590,"Charles Dickens, Jeremy Tambling",David Copperfield
591,"Sherman Alexie, Ellen Forney",The Absolutely True Diary of a Part-Time Indian
592,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Мастер и Маргарита
593,Ursula K. Le Guin,A Wizard of Earthsea
594,"Kate DiCamillo, Chris Sheban",Because of Winn-Dixie
595,John Knowles,A Separate Peace
596,John Grisham,The Rainmaker
597,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",Don Quijote de La Mancha
598,Robin Hobb,Assassin's Apprentice
599,Douglas Adams,The Restaurant at the End of the Universe
600,Lauren Kate,Torment
601,Beatrix Potter,The Tale of Peter Rabbit
602,"C.S. Lewis, Pauline Baynes",The Silver Chair
603,Brandon Sanderson,The Hero of Ages
604,Susanna Kaysen,"Girl, Interrupted"
605,Chelsea Handler,"Are You There, Vodka? It's Me, Chelsea"
606,"Richard Bach, Russell Munson",Jonathan Livingston Seagull
607,Cassandra Clare,City of Heavenly Fire
608,"Robert Munsch, Sheila McGraw",Love You Forever
609,Stephen King,Cell
610,Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
611,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",The Silmarillion
612,Stephen King,The Drawing of the Three
613,Kate Morton,The Forgotten Garden
614,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",Der Prozeß
615,Sarah Dessen,This Lullaby
616,Jodi Picoult,Plain Truth
617,Piper Kerman,Orange Is the New Black: My Year in a Women's Prison
618,"Arthur Conan Doyle, Anne Perry",The Hound of the Baskervilles
619,Daniel Kahneman,"Thinking, Fast and Slow"
620,Marion Zimmer Bradley,The Mists of Avalon
621,Judy Blume,"Are You There God? It's Me, Margaret"
622,Nicholas Sparks,Nights in Rodanthe
623,Stephen King,Mr. Mercedes
624,Charlaine Harris,All Together Dead
625,Chris Bohjalian,Midwives
626,Chris Van Allsburg,The Polar Express
627,"Jon Scieszka, Lane Smith",The True Story of the Three Little Pigs
628,Tom Clancy,Patriot Games
629,"Paulo Coelho, Margaret Jull Costa",Veronika decide morrer
630,"Sheryl Sandberg, Nell Scovell","Lean In: Women, Work, and the Will to Lead"
631,Charlaine Harris,Dead as a Doornail 
632,Tahereh Mafi,"Shatter Me (Shatter Me, #1)"
633,Robert A. Heinlein,Starship Troopers
634,Sophie Kinsella,I've Got Your Number
635,"Jostein Gaarder, Paulette Møller",Sofies Verden
636,Mark Cotta Vaz,
637,Ray Bradbury,The Martian Chronicles
